,Wavelength(nm),Band-2 – R1,,,Wavelength(nm),Band-3 – R1,Wavelength(nm),Band-4 – R1,Wavelength(nm),Band-5 – R1
,300,0.004980300418393,,,300,0.003746429036475,300,0.034749619500623,800,0.065880790546452
,310,0.003820497751933,,,310,0.002985977496074,310,0.009373035812259,810,0.015843482884981
,320,0.003404361254497,,,320,0.002657624373065,320,0.006002204379375,820,0.010994807509326
,330,0.003037134127799,,,330,0.00247057842421,330,0.004705749220512,830,0.008450897818726
,340,0.003132064902836,,,340,0.002524304078299,340,0.004764837193261,840,0.005045354585677
,350,0.001822058172191,,,350,0.001481110074771,350,0.001861489192467,850,0.004192224050696
,360,0.000850732240273,,,360,0.000667518271047,360,0.000706648857897,860,0.002377683967023
,370,0.000682446669415,,,370,0.000562954085165,370,0.00060188125108,870,0.001864018506666
,380,0.000710398517957,,,380,0.000640220443163,380,0.000636225898813,880,0.001716610678395
,390,0.000219470315245,,,390,0.000808265925528,390,0.000188496263208,890,0.001374167179534
,400,0.000208713803973,,,400,0.000205713996039,400,0.000193958387367,900,0.001067003263368
,410,0.000191626886695,,,410,0.000181656650264,410,0.000165886332303,910,0.000983062488631
,420,0.000176193280565,,,420,0.00016477587242,420,0.000155149326478,920,0.000924787787685
,430,0.000170788323966,,,430,0.00015827528688,430,0.000142280584579,930,0.000671150495739
,440,0.000171890074383,,,440,0.000156862180113,440,0.000145503989501,940,0.000683926547621
,450,0.000175879379151,,,450,0.000155082934795,450,0.000144390701981,950,0.000638105971971
,452,0.00015052259458,,,460,0.000148269093158,460,0.000137537699619,960,0.000562988176417
,454,0.000149083860633,,,470,0.000139386392775,470,0.000126828421905,970,0.000525901301797
,456,0.00014748406161,,,480,0.000139469820321,480,0.000130404370529,980,0.000438524915912
,458,0.000142050701834,,,490,0.000138811663565,490,0.000123524806885,990,0.000413484071084
,460,0.00014067636007,,,500,0.000138314775722,500,0.00012533424016,1000,0.000387782305717
,462,0.00014670688398,,,510,0.00013715091354,510,0.000126642084788,1010,0.000400331926779
,464,0.000144155685603,,,520,0.000138644267373,520,0.000121995355581,1020,0.000354373451409
,466,0.000143753397297,,,530,0.000136385698845,530,0.000125495885303,1030,0.000329999638858
,468,0.000137884625227,,,540,0.000136620220006,540,0.000128124870471,1040,0.000335060789312
,470,0.000138524471548,,,550,0.000140430616521,550,0.000128929605618,1050,0.000267289375997
,472,0.000137898746663,,,552,0.000138725467758,560,0.000129187824413,1060,0.000298981535811
,474,0.000138968139463,,,554,0.000147395660218,570,0.000132258509067,1070,0.000326892023003
,476,0.000136196392799,,,556,0.000147510269523,580,0.000131621085482,1080,0.00029774566226
,478,0.000138359622983,,,558,0.000147655692973,590,0.000135820085689,1090,0.000271213454269
,480,0.000138306270947,,,560,0.000145426503355,600,0.000133978424479,1100,0.00024869700018
,482,0.000135490415711,,,562,0.000150440877533,610,0.000136706611868,1110,0.000248573642533
,484,0.000136041687307,,,564,0.00014730064831,620,0.00013929750113,1120,0.000229037464749
,486,0.000138348649797,,,566,0.000146272117921,630,0.000143609534635,1130,0.000244444913243
,488,0.000136509044197,,,568,0.00015021608936,640,0.000143043781439,1140,0.00023234649391
,490,0.000140244657377,,,570,0.000150403324711,650,0.000143751739558,1150,0.000232073691006
,492,0.000140338295368,,,572,0.000149037157173,652,0.000147181145832,1160,0.000232705861831
,494,0.000138178497331,,,574,0.000146666090546,654,0.000146415781073,1170,0.000244442959072
,496,0.000135526434469,,,576,0.000153429770571,656,0.000148708677878,1180,0.000236701449865
,498,0.00014165128844,,,578,0.000151209012512,658,0.000147808917528,1190,0.000210998816585
,500,0.000138073985061,,,580,0.00015211392725,660,0.000146575427152,1200,0.000239703378429
,502,0.000139469736957,,,582,0.000153723064671,662,0.000151010893526,1210,0.000180271313473
,504,0.000138931457136,,,584,0.00014569752832,664,0.000148511233008,1220,0.000218627780717
,506,0.000142902750796,,,586,0.000151800144102,666,0.000147845020319,1230,0.000239879087031
,508,0.000144497196299,,,588,0.000153890681585,668,0.000151607933571,1240,0.000205378798519
,510,0.000144898989731,,,590,0.000152378931001,670,0.000147382847553,1250,0.000203205135794
,512,0.000159345800563,,,592,0.000156994879429,672,0.000152553250784,1260,0.000206952375372
,514,0.00024238004802,,,594,0.000145879811421,674,0.000149850796995,1270,0.000217575145427
,516,0.000703520055899,,,596,0.000157203697969,676,0.000150816086647,1280,0.000232865103999
,518,0.00380757061918,,,598,0.00015854917311,678,0.00015329280679,1290,0.000226499187093
,520,0.019900671628143,,,600,0.000164857565629,680,0.000154549878369,1300,0.000221026628559
,522,0.068843142664546,,,602,0.00020002681238,682,0.000152940856145,1310,0.00024486439658
,524,0.181392151957153,,,604,0.000355278102072,684,0.000150353082431,1320,0.000206878940697
,526,0.358187308746112,,,606,0.001176832205559,686,0.000153051983429,1330,0.000209594713577
,528,0.504361033930113,,,608,0.005342169487645,688,0.000153060248525,1340,0.000226487143627
,530,0.555742340583658,,,610,0.019140308086657,690,0.000153428065955,1350,0.000243071893055
,532,0.555832871199825,,,612,0.048497264230201,692,0.000150581062098,1360,0.000243214229906
,534,0.557606722342342,,,614,0.103165831844358,694,0.00015230499326,1370,0.000335211291525
,536,0.58465411900253,,,616,0.197989352810838,696,0.000156787524754,1380,0.000367964324045
,538,0.631852872853793,,,618,0.346921282296495,698,0.000156432018987,1390,0.000480184244195
,540,0.667817750978136,,,620,0.538267120144949,700,0.000152023149329,1400,0.000432782990533
,542,0.667971762845127,,,622,0.727637134571182,702,0.000151879129686,1402,0.000434885494986
,544,0.651611321195168,,,624,0.867995603202707,704,0.000154347681613,1404,0.000413800990283
,546,0.650762853936205,,,626,0.935869437514541,706,0.000154465916374,1406,0.000420797702764
,548,0.669165392909971,,,628,0.951782760281623,708,0.000150048566603,1408,0.000471150833505
,550,0.68886752045677,,,630,0.940350314881037,710,0.000157092743807,1410,0.000413700832435
,552,0.693586477746139,,,632,0.921941111468093,712,0.000150920846163,1412,0.00047219084645
,554,0.694768833745124,,,634,0.903713533941514,714,0.000154168217623,1414,0.000431418658021
,556,0.714280839440742,,,636,0.897368175731434,716,0.000154400888386,1416,0.000501570099034
,558,0.751700648891649,,,638,0.90042612087706,718,0.000154733451128,1418,0.000489956275265
,560,0.772623752472446,,,640,0.917011168789253,720,0.000159201563727,1420,0.000501653017419
,562,0.759609915497456,,,642,0.940868954193226,722,0.000156098379266,1422,0.00051609912233
,564,0.743148360135816,,,644,0.966565368107811,724,0.0001564697385,1424,0.000558657358088
,566,0.770376733395072,,,646,0.986093065861421,726,0.000160114171369,1426,0.000579428941436
,568,0.848014384997434,,,648,0.994555590728168,728,0.000160371641305,1428,0.00057895683523
,570,0.926821067900769,,,650,0.989687428102762,730,0.000166149969242,1430,0.000619296790377
,572,0.938009723719203,,,652,0.971120495167518,732,0.000165084315857,1432,0.000670080238384
,574,0.902906260407523,,,654,0.945020224686867,734,0.000167976865143,1434,0.000720012248675
,576,0.889393759762124,,,656,0.926082991624801,736,0.000167835325861,1436,0.000769303466134
,578,0.928330436465574,,,658,0.913447507835471,738,0.000171789985548,1438,0.000813288254585
,580,0.982494409019996,,,660,0.913329445879819,740,0.000183586899239,1440,0.000906134188274
,582,0.999650896086824,,,662,0.921714777230739,742,0.000193857096737,1442,0.000951831241599
,584,0.977427210002521,,,664,0.938344729925547,744,0.000221658254884,1444,0.001015267626344
,586,0.956559763831915,,,666,0.955233762672322,746,0.000295168845217,1446,0.001121475822499
,588,0.918155079402316,,,668,0.967032448157018,748,0.000472286388062,1448,0.001179322593157
,590,0.784334991390413,,,670,0.969162937881589,750,0.000852715017403,1450,0.001317640107004
,592,0.559140818182367,,,672,0.958740846118181,752,0.001660065577692,1452,0.001429744923362
,594,0.344332352939174,,,674,0.941917966285782,754,0.003558233191029,1454,0.001541964308124
,596,0.200197042013722,,,676,0.927698028286717,756,0.007738244181497,1456,0.001697709665102
